id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_duration
id2287224,12:13:04 AM,12:29:29 AM,2,"-7,393,865,966,796,870","40,686,008,453,369,100","-73,891,632,080,078,100","40,659,767,150,878,900",985
id0449851,12:13:19 AM,12:22:37 AM,1,"-73,988,540,649,414,000","40,738,990,783,691,400","-73,999,473,571,777,300","40,728,137,969,970,700",558
id1847113,12:15:37 AM,12:22:02 AM,1,"-74,006,057,739,257,800","40,735,160,827,636,700","-74,001,167,297,363,200","40,761,783,599,853,500",385
id0421769,12:15:49 AM,12:39:31 AM,1,"-73,986,129,760,742,100","40,689,826,965,332,000","-73,994,773,864,746,000","40,644,039,154,052,700",1422
id1025715,12:15:56 AM,12:32:50 AM,6,"-73,874,557,495,117,100","40,774,070,739,746,000","-73,972,732,543,945,300","40,756,343,841,552,700",1014
id1532730,12:15:59 AM,12:30:12 AM,2,"-73,969,261,169,433,500","40,690,013,885,498,000","-74,003,387,451,171,800","40,655,452,728,271,400",853
id2201044,12:16:33 AM,12:39:24 AM,4,"-73,989,448,547,363,200","40,730,117,797,851,500","-73,880,088,806,152,300","40,701,976,776,123,000",1371
id0611370,12:17:14 AM,12:23:55 AM,1,"-73,974,205,017,089,800","40,754,192,352,294,900","-73,963,027,954,101,500","40,763,847,351,074,200",401
id2711626,12:18:14 AM,12:25:23 AM,1,"-73,984,550,476,074,200","40,764,682,769,775,300","-73,957,969,665,527,300","40,761,127,471,923,800",429
id2704231,12:18:17 AM,12:25:00 AM,1,"-73,981,491,088,867,100","40,747,550,964,355,400","-73,994,316,101,074,200","40,724,609,375",403
id2761051,12:18:48 AM,12:35:12 AM,1,"-74,007,133,483,886,700","40,739,849,090,576,100","-73,983,444,213,867,100","40,702,911,376,953,100",984
id1810025,12:19:00 AM,12:23:25 AM,1,"-73,995,094,299,316,400","40,725,410,461,425,700","-73,983,299,255,371,000","407,266,845,703,125",265
id1252626,12:19:40 AM,12:22:25 AM,1,"-74,002,220,153,808,500","40,739,524,841,308,500","-73,992,324,829,101,500","40,735,363,006,591,700",165
id0207007,12:20:06 AM,12:27:17 AM,5,"-73,985,115,051,269,500","40,732,250,213,623,000","-73,984,550,476,074,200","40,743,171,691,894,500",431
id2242921,12:20:24 AM,12:47:39 AM,1,"-73,985,244,750,976,500","40,732,040,405,273,400","-73,927,261,352,539,000","40,689,567,565,917,900",1635
id0522828,12:21:13 AM,12:29:15 AM,1,"-73,991,981,506,347,600","40,725,868,225,097,600","-73,991,127,014,160,100","40,750,038,146,972,600",482
id0797581,12:21:20 AM,12:35:48 AM,1,"-73,967,422,485,351,500","40,681,797,027,587,800","-73,984,207,153,320,300","40,723,808,288,574,200",868
id1856575,12:21:27 AM,12:29:24 AM,2,"-7,398,431,396,484,370","40,757,083,892,822,200","-73,978,981,018,066,400","40,780,052,185,058,500",477
id2592100,12:21:41 AM,12:34:00 AM,5,"-73,986,968,994,140,600","40,728,248,596,191,400","-73,991,462,707,519,500","40,744,899,749,755,800",739
id0589841,12:22:18 AM,12:39:15 AM,2,"-73,997,543,334,960,900","40,741,607,666,015,600","-73,995,170,593,261,700","40,681,983,947,753,900",1017
id2511908,12:22:29 AM,12:28:27 AM,1,"-73,989,143,371,582,000","40,731,681,823,730,400","-73,999,969,482,421,800","40,722,919,464,111,300",358
id3323337,12:23:10 AM,12:26:50 AM,1,"-73,982,765,197,753,900","40,763,298,034,667,900","-73,990,989,685,058,500","40,760,467,529,296,800",220
id0760079,12:23:12 AM,12:30:59 AM,1,"-73,972,381,591,796,800","40,781,219,482,421,800","-73,969,642,639,160,100","40,760,219,573,974,600",467
id3827184,12:23:17 AM,12:28:32 AM,2,"-73,980,690,002,441,400","40,760,040,283,203,100","-73,991,798,400,878,900","40,749,649,047,851,500",315
id0322829,12:24:26 AM,12:38:44 AM,3,"-73,958,877,563,476,500","40,717,647,552,490,200","-74,003,860,473,632,800","40,729,251,861,572,200",858
id0777616,12:26:12 AM,12:48:31 AM,1,"-73,973,190,307,617,100","40,755,176,544,189,400","-73,909,461,975,097,600","40,856,391,906,738,200",1339
id0197603,12:26:30 AM,12:34:19 AM,1,"-73,991,043,090,820,300","40,734,786,987,304,600","-73,989,448,547,363,200","40,756,122,589,111,300",469
id1216285,12:27:03 AM,12:43:56 AM,1,"-73,996,696,472,167,900","40,737,449,645,996,000","-73,921,798,706,054,600","40,743,320,465,087,800",1013
id3178325,12:27:29 AM,12:41:06 AM,1,"-74,000,968,933,105,400","40,735,855,102,539,000","-73,963,424,682,617,100","40,762,550,354,003,900",817
id3599875,12:27:51 AM,12:38:17 AM,6,"-73,944,099,426,269,500","40,746,421,813,964,800","-73,916,023,254,394,500","40,761,318,206,787,100",626
id1101684,12:27:53 AM,12:40:48 AM,1,"-73,984,489,440,917,900","40,764,549,255,371,000","-73,954,002,380,371,000","40,776,260,375,976,500",775
id1558664,12:28:49 AM,12:33:25 AM,1,"-73,991,668,701,171,800","40,744,865,417,480,400","-73,992,080,688,476,500","40,749,752,044,677,700",276
id1119914,12:29:08 AM,12:32:27 AM,2,"-73,998,863,220,214,800","40,740,028,381,347,600","-73,995,010,375,976,500","40,734,138,488,769,500",199
id3585132,12:29:11 AM,12:41:20 AM,1,"-73,969,223,022,460,900","40,689,426,422,119,100","-73,931,198,120,117,100","40,699,275,970,458,900",729
id0718809,12:29:40 AM,12:48:59 AM,1,"-73,994,827,270,507,800","40,747,726,440,429,600","-73,966,255,187,988,200","40,807,201,385,498,000",1159
id2437937,12:29:58 AM,12:48:34 AM,1,"-73,983,451,843,261,700","40,747,852,325,439,400","-73,923,744,201,660,100","40,807,910,919,189,400",1116
id2780568,12:30:18 AM,12:00:00 AM,2,"-73,986,953,735,351,500","40,764,308,929,443,300","-73,942,825,317,382,800","40,832,378,387,451,100",84582
id0228736,12:30:45 AM,12:47:11 AM,1,"-73,983,291,625,976,500","40,751,579,284,667,900","-73,964,424,133,300,700","40,803,245,544,433,500",986
id1128343,12:30:52 AM,12:44:22 AM,1,"-73,999,931,335,449,200","40,733,047,485,351,500","-73,950,019,836,425,700","40,784,255,981,445,300",810
id3395574,12:31:11 AM,12:56:05 AM,2,"-73,981,132,507,324,200","40,752,910,614,013,600","-73,993,080,139,160,100","40,643,661,499,023,400",1494
id2144220,12:31:49 AM,12:59:06 AM,1,"-73,956,703,186,035,100","40,716,999,053,955,000","-73,942,344,665,527,300","40,829,601,287,841,700",1637
id0426120,12:32:26 AM,12:44:59 AM,1,"-73,944,847,106,933,500","40,834,053,039,550,700","-739,012,451,171,875","4,087,945,556,640,620",753
id1431543,12:32:28 AM,12:41:08 AM,1,"-73,982,109,069,824,200","40,748,939,514,160,100","-73,974,624,633,789,000","40,729,949,951,171,800",520
id0670038,12:33:43 AM,12:57:35 AM,5,"-73,993,186,950,683,500","40,738,330,841,064,400","-73,920,913,696,289,000","40,865,463,256,835,900",1432
id3529663,12:33:53 AM,12:47:16 AM,1,"-73,983,055,114,746,000","40,756,595,611,572,200","-73,938,461,303,710,900","40,811,847,686,767,500",803
id3990891,12:34:04 AM,12:36:42 AM,1,"-73,988,174,438,476,500","40,727,996,826,171,800","-73,981,010,437,011,700","40,721,088,409,423,800",158
id3319150,12:34:45 AM,12:50:04 AM,1,"-73,934,944,152,832,000","40,738,235,473,632,800","-73,808,547,973,632,800","40,701,652,526,855,400",919
id1445364,12:34:55 AM,12:50:40 AM,1,"-73,874,588,012,695,300","40,774,105,072,021,400","-73,900,985,717,773,400","40,821,525,573,730,400",945
id3355614,12:36:26 AM,12:54:32 AM,3,"-73,980,583,190,917,900","40,774,814,605,712,800","-739,178,466,796,875","40,774,974,822,998,000",1086
id3455444,12:36:50 AM,12:43:48 AM,3,"-74,003,791,809,082,000","40,713,260,650,634,700","-73,993,843,078,613,200","40,732,578,277,587,800",418
id2506427,12:36:51 AM,12:44:08 AM,1,"-73,979,110,717,773,400","40,753,303,527,832,000","-73,978,591,918,945,300","40,734,378,814,697,200",437
id1064262,12:36:54 AM,12:46:46 AM,1,"-740,028,076,171,875","40,733,749,389,648,400","-73,973,258,972,167,900","40,748,661,041,259,700",592
id2432020,12:37:49 AM,12:50:08 AM,1,"-73,992,233,276,367,100","40,743,587,493,896,400","-74,016,983,032,226,500","40,704,833,984,375",739
id3816354,12:38:04 AM,12:44:00 AM,1,"-73,983,154,296,875","40,754,661,560,058,500","-73,972,877,502,441,400","40,748,184,204,101,500",356
id1126023,12:38:47 AM,12:43:33 AM,1,"-74,002,479,553,222,600","40,733,688,354,492,100","-74,002,952,575,683,500","40,747,200,012,207,000",286
id3967485,12:38:48 AM,12:44:45 AM,1,"-739,619,140,625","40,762,691,497,802,700","-73,957,504,272,460,900","40,779,743,194,580,000",357
id3750435,12:39:16 AM,01:03:51 AM,1,"-73,780,784,606,933,500","40,646,415,710,449,200","-73,968,460,083,007,800","40,755,035,400,390,600",1475
id0882316,12:39:23 AM,12:52:57 AM,2,"-73,976,371,765,136,700","40,785,770,416,259,700","-73,962,409,973,144,500","40,763,309,478,759,700",814
id1218775,12:39:51 AM,12:49:50 AM,1,"-73,986,709,594,726,500","40,740,875,244,140,600","-73,983,589,172,363,200","40,766,513,824,462,800",599
id3156700,12:40:34 AM,12:43:01 AM,1,"-7,399,847,412,109,370","40,735,443,115,234,300","-74,006,637,573,242,100","40,735,771,179,199,200",147
id0750435,12:40:37 AM,12:54:39 AM,5,"-73,984,458,923,339,800","40,760,841,369,628,900","-73,941,116,333,007,800","40,844,123,840,332,000",842
id1616195,12:40:39 AM,12:44:04 AM,1,"-73,979,339,599,609,300","40,753,009,796,142,500","-73,973,922,729,492,100","40,757,438,659,667,900",205
id2756135,12:40:51 AM,12:48:43 AM,2,"-73,993,667,602,539,000","40,744,243,621,826,100","-73,978,988,647,460,900","40,741,020,202,636,700",472
id2829020,12:42:10 AM,12:49:55 AM,1,"-73,988,601,684,570,300","40,731,330,871,582,000","-73,973,953,247,070,300","4,074,725,341,796,870",465
id2891357,12:42:57 AM,12:53:19 AM,5,"-73,956,039,428,710,900","40,771,961,212,158,200","-73,993,331,909,179,600","40,729,576,110,839,800",622
id2276155,12:42:58 AM,12:47:35 AM,2,"-73,991,706,848,144,500","407,333,984,375","-73,993,057,250,976,500","40,742,458,343,505,800",277
id0142196,12:43:02 AM,12:48:56 AM,1,"-73,952,156,066,894,500","40,780,960,083,007,800","-73,950,912,475,585,900","40,805,000,305,175,700",354
id3524025,12:44:58 AM,01:00:41 AM,1,"-73,977,630,615,234,300","40,786,758,422,851,500","-73,900,505,065,917,900","40,862,506,866,455,000",943
id2641790,12:45:10 AM,12:48:25 AM,1,"-73,984,329,223,632,800","40,748,851,776,123,000","-73,978,683,471,679,600","40,742,660,522,460,900",195
id0787520,12:45:36 AM,12:56:50 AM,6,"-73,980,278,015,136,700","40,782,363,891,601,500","-73,959,953,308,105,400","40,773,651,123,046,800",674
id2064404,12:45:47 AM,01:03:18 AM,1,"-73,985,252,380,371,000","40,735,660,552,978,500","-73,967,399,597,167,900","40,674,369,812,011,700",1051
id1563717,12:45:57 AM,12:47:25 AM,2,"-73,988,822,937,011,700","40,736,568,450,927,700","-73,983,299,255,371,000","40,734,909,057,617,100",88
id2453800,12:46:53 AM,01:03:14 AM,1,"-73,995,857,238,769,500","40,764,408,111,572,200","-73,983,505,249,023,400","40,726,291,656,494,100",981
id0587273,12:48:31 AM,12:53:09 AM,1,"-73,989,532,470,703,100","40,734,077,453,613,200","-73,981,239,318,847,600","40,725,025,177,001,900",278
id1832609,12:49:18 AM,01:05:40 AM,2,"-73,989,212,036,132,800","40,719,890,594,482,400","-73,923,599,243,164,000","40,701,828,002,929,600",982
id2643161,12:49:56 AM,12:58:59 AM,3,"-73,987,106,323,242,100","40,740,379,333,496,000","-73,980,537,414,550,700","40,714,195,251,464,800",543
id0929306,12:50:01 AM,12:55:42 AM,6,"-73,958,427,429,199,200","40,714,710,235,595,700","-73,944,023,132,324,200","40,722,881,317,138,600",341
id1370209,12:50:09 AM,12:57:44 AM,2,"-73,988,388,061,523,400","40,733,425,140,380,800","-74,005,683,898,925,700","40,735,824,584,960,900",455
id2100157,12:50:13 AM,12:58:40 AM,2,"-73,985,885,620,117,100","40,746,692,657,470,700","-739,808,349,609,375","4,072,979,736,328,120",507
id2721632,12:50:20 AM,12:54:09 AM,1,"-73,979,835,510,253,900","40,755,088,806,152,300","-73,980,171,203,613,200","40,741,485,595,703,100",229
id0386688,12:50:28 AM,01:09:13 AM,1,"-7,388,519,287,109,370","40,772,800,445,556,600","-73,868,560,791,015,600","40,721,370,697,021,400",1125
id3121184,12:50:36 AM,12:57:57 AM,1,"-73,981,986,999,511,700","40,770,450,592,041,000","-73,950,332,641,601,500","40,783,821,105,957,000",441
id1653568,12:50:38 AM,12:56:16 AM,2,"-73,987,556,457,519,500","40,754,070,281,982,400","-73,977,897,644,042,900","40,745,170,593,261,700",338
id2998285,12:50:43 AM,12:59:07 AM,1,"-7,397,344,970,703,120","40,759,815,216,064,400","-73,954,574,584,960,900","40,778,076,171,875",504
id2335754,12:53:26 AM,12:59:05 AM,1,"-73,975,723,266,601,500","40,748,912,811,279,200","-73,959,495,544,433,500","407,633,056,640,625",339
id3604960,12:55:12 AM,01:03:11 AM,1,"-73,978,179,931,640,600","40,752,250,671,386,700","-73,981,918,334,960,900","40,769,554,138,183,500",479
id2207984,12:55:50 AM,01:00:16 AM,2,"-73,991,065,979,003,900","40,733,707,427,978,500","-73,989,707,946,777,300","40,720,870,971,679,600",266
id3225421,12:56:33 AM,12:59:35 AM,1,"-73,918,060,302,734,300","40,698,848,724,365,200","-73,909,217,834,472,600","40,705,986,022,949,200",182
id2919911,12:56:36 AM,12:59:18 AM,5,"-73,955,276,489,257,800","40,779,178,619,384,700","-73,947,113,037,109,300","40,781,669,616,699,200",162
id2322267,12:57:08 AM,01:12:10 AM,1,"-73,988,868,713,378,900","40,758,331,298,828,100","-73,948,020,935,058,500","40,827,110,290,527,300",902
id1779340,12:57:28 AM,01:01:46 AM,1,"-74,001,899,719,238,200","40,709,342,956,542,900","-73,978,500,366,210,900","40,719,867,706,298,800",258
id2858244,12:57:59 AM,01:05:10 AM,1,"-73,993,370,056,152,300","40,721,920,013,427,700","-73,979,942,321,777,300","40,726,802,825,927,700",431
id2427284,12:58:21 AM,01:11:13 AM,2,"-739,857,177,734,375","40,767,856,597,900,300","-73,921,501,159,667,900","40,867,561,340,332,000",772
id1139714,12:58:29 AM,01:01:30 AM,2,"-73,986,328,125","40,745,010,375,976,500","-73,983,207,702,636,700","40,744,377,136,230,400",181
id1486575,12:59:18 AM,01:30:08 AM,1,"-73,780,448,913,574,200","40,645,626,068,115,200","-73,976,242,065,429,600","40,788,028,717,041,000",1850
id2581465,01:00:23 AM,01:10:33 AM,1,"-73,991,828,918,457,000","40,744,220,733,642,500","-73,985,511,779,785,100","40,778,209,686,279,200",610
id2015711,01:00:25 AM,01:02:12 AM,2,"-73,830,093,383,789,000","40,713,748,931,884,700","-73,822,113,037,109,300","40,714,641,571,044,900",107
id2399315,01:02:22 AM,01:14:08 AM,1,"-73,983,940,124,511,700","40,751,365,661,621,000","-74,004,150,390,625","40,707,981,109,619,100",706
id2779199,01:02:37 AM,01:27:33 AM,1,"-73,776,969,909,667,900","4,064,501,953,125","-73,946,525,573,730,400","40,722,843,170,166,000",1496
id1984969,01:03:50 AM,01:18:29 AM,1,"-73,984,443,664,550,700","40,768,272,399,902,300","-7,398,388,671,875","40,721,385,955,810,500",879
id1259222,01:04:12 AM,01:29:22 AM,1,"-73,987,548,828,125","40,760,467,529,296,800","-73,959,869,384,765,600","40,718,273,162,841,700",1510
id2281564,01:05:35 AM,01:26:28 AM,1,"-73,994,216,918,945,300","40,754,154,205,322,200","-73,876,625,061,035,100","40,838,279,724,121,000",1253
id1048091,01:05:41 AM,01:16:45 AM,2,"-73,962,257,385,253,900","40,760,421,752,929,600","-74,007,331,848,144,500","40,705,310,821,533,200",664
id3549896,01:06:13 AM,01:24:14 AM,5,"-739,996,337,890,625","40,718,463,897,705,000","-73,961,906,433,105,400","40,779,525,756,835,900",1081
id1633833,01:06:28 AM,01:36:52 AM,1,"-73,776,634,216,308,500","40,645,397,186,279,200","-73,993,865,966,796,800","406,912,841,796,875",1824
id1373196,01:06:43 AM,01:33:34 AM,6,"-73,782,073,974,609,300","40,644,901,275,634,700","-73,957,023,620,605,400","40,686,973,571,777,300",1611
id0408818,01:07:21 AM,01:23:21 AM,1,"-73,776,863,098,144,500","40,645,179,748,535,100","-7,386,541,748,046,870","40,694,602,966,308,500",960
id2726147,01:07:58 AM,01:32:20 AM,1,"-74,013,481,140,136,700","40,714,866,638,183,500","-73,969,902,038,574,200","40,608,661,651,611,300",1462
id1906605,01:07:59 AM,01:14:25 AM,1,"-73,992,057,800,292,900","40,725,799,560,546,800","-7,400,048,828,125","40,735,515,594,482,400",386
id3837693,01:08:15 AM,01:24:06 AM,1,"-7,398,974,609,375","40,729,705,810,546,800","-73,961,112,976,074,200","40,799,129,486,083,900",951
id0725131,01:08:35 AM,01:13:06 AM,1,"-73,992,057,800,292,900","40,743,965,148,925,700","-739,825,439,453,125","40,742,408,752,441,400",271
id2194719,01:09:24 AM,01:30:37 AM,2,"-73,989,662,170,410,100","40,726,005,554,199,200","-73,891,494,750,976,500","40,747,039,794,921,800",1273
id1810919,01:09:28 AM,01:26:15 AM,1,"-74,010,940,551,757,800","407,110,595,703,125","-73,990,043,640,136,700","40,774,662,017,822,200",1007
id0496868,01:09:57 AM,01:13:20 AM,2,"-73,978,202,819,824,200","40,752,414,703,369,100","-73,986,259,460,449,200","40,755,611,419,677,700",203
id0607376,01:11:38 AM,01:25:58 AM,1,"-7,399,163,818,359,370","40,759,696,960,449,200","-73,983,467,102,050,700","40,722,053,527,832,000",860
id1658866,01:12:09 AM,01:15:53 AM,2,"-73,982,780,456,542,900","40,757,022,857,666,000","-73,974,601,745,605,400","40,756,267,547,607,400",224
id2272588,01:12:27 AM,01:38:31 AM,1,"-74,012,847,900,390,600","40,706,558,227,539,000","-73,936,744,689,941,400","40,682,537,078,857,400",1564
id1540278,01:13:00 AM,01:15:28 AM,2,"-73,983,314,514,160,100","40,726,390,838,623,000","-739,803,466,796,875","40,722,061,157,226,500",148
id0723358,01:13:15 AM,01:16:34 AM,1,"-7,398,333,740,234,370","40,755,832,672,119,100","-73,987,922,668,457,000","4,076,214,599,609,370",199
id1949416,01:13:42 AM,01:18:59 AM,1,"-73,998,687,744,140,600","40,760,787,963,867,100","-73,994,094,848,632,800","40,763,965,606,689,400",317
id2434961,01:13:59 AM,01:21:26 AM,6,"-74,008,682,250,976,500","40,707,431,793,212,800","-74,001,106,262,207,000","40,686,138,153,076,100",447
id0407104,01:14:40 AM,01:28:08 AM,1,"-73,986,907,958,984,300","40,744,338,989,257,800","-739,495,849,609,375","40,776,931,762,695,300",808
id2763430,01:19:09 AM,01:37:19 AM,1,"-73,974,052,429,199,200","40,760,078,430,175,700","-7,388,446,044,921,870","40,755,599,975,585,900",1090
id3979281,01:19:15 AM,01:21:42 AM,2,"-73,937,919,616,699,200","40,796,855,926,513,600","-73,946,083,068,847,600","40,792,221,069,335,900",147
